"time","M","Y","Z","I"
181,643.993,41.2362,13.1714,334
182,646.194,41.2074,13.1322,332
183,665.274,41.3227,13.0974,333
184,665.347,41.4262,13.0859,333
185,656.412,41.4836,13.0692,336
186,657.371,41.5289,13.025,334
187,668.134,41.6549,12.9901,335
188,676.02,41.7952,12.9416,333
189,679.518,41.9442,12.9349,333
190,683.567,42.0654,12.9413,330
191,684.51,42.1408,12.947,327
192,698.859,42.3033,12.9404,327
193,700.073,42.4834,12.9313,329
194,685.866,42.5497,12.9675,329
195,684.779,42.628,13,331
196,674.801,42.631,13.018,331
197,661.321,42.493,13.0322,327
198,659.089,42.3548,13.0717,327
199,666.98,42.2707,13.1158,326
200,676.782,42.2861,13.1625,328
201,682.004,42.3477,13.2006,329
202,672.303,42.3766,13.2242,332
203,662.673,42.3376,13.2752,332
204,656.706,42.2252,13.3317,329
205,645.035,42.0346,13.3525,328
206,648.932,41.89,13.3771,328
207,650.639,41.7597,13.3781,327
208,648.575,41.6049,13.3347,325
209,656.617,41.5193,13.2914,325
210,657.556,41.4364,13.265,324
211,655.7,41.3502,13.2698,324
212,661.23,41.3472,13.2891,327
213,655.407,41.3185,13.2982,328
214,658.266,41.337,13.286,330
215,664.44,41.4075,13.2507,331
216,679.896,41.5742,13.1909,331
217,673.106,41.6776,13.1455,331
218,675.095,41.8351,13.1047,335
219,677.786,41.9941,13.056,335
220,664.907,42.0489,13.0292,335
221,660.517,42.0806,13.0032,336
222,650.265,42.0641,12.9761,338
223,644.638,42.0231,12.9752,339
224,645.875,41.9949,12.9662,339
225,655.087,42.0205,12.972,338
226,652.578,41.9764,12.9941,334
227,646.721,41.8973,13.0464,334
228,658.549,41.8941,13.0789,333
229,647.594,41.842,13.1283,335
230,666.534,41.9239,13.1782,335
231,657.481,41.9358,13.1954,335
232,661.033,41.9957,13.2053,337
233,648.93,41.9543,13.2002,336
234,653.337,41.9846,13.1873,339
235,650.103,41.9524,13.1784,337
236,643.593,41.8792,13.1865,336
237,654.833,41.8778,13.1726,335
238,662.25,41.9775,13.1478,339
239,659.925,42.0632,13.1468,340
240,659.633,42.1504,13.1305,341
241,653.969,42.1892,13.1562,341
242,674.972,42.3948,13.1599,343
243,683.075,42.6478,13.1787,344
244,687.668,42.8797,13.1657,342
245,690.001,43.1294,13.1752,344
246,692.101,43.3276,13.1651,341
247,688.591,43.4804,13.1421,341
248,684.532,43.6021,13.1417,342
249,695.278,43.772,13.173,341
250,695.051,43.9488,13.1999,343
251,685.846,44.0036,13.2272,340
252,678.461,43.9889,13.2394,339
253,689.815,44.1063,13.3039,343
254,694.633,44.2182,13.3833,341
255,694.47,44.3568,13.4561,344
256,702.423,44.5898,13.5345,348
257,698.781,44.759,13.5966,347
258,700.003,44.892,13.6446,345
259,706.502,45.0968,13.6828,348
260,706.952,45.283,13.7361,348
261,706.457,45.4324,13.7916,347
262,688.911,45.4296,13.8088,346
263,675.82,45.3867,13.8042,350
264,667.638,45.2523,13.841,347
265,672.874,45.1946,13.8761,349
266,672.187,45.1382,13.9196,349
267,678.768,45.1085,13.9927,347
268,685.591,45.1168,14.0458,346
269,678.232,45.0726,14.0876,346
270,672.509,44.9803,14.1519,345
271,679.058,44.9435,14.2103,345
272,667.852,44.8324,14.2572,345
273,656.867,44.6688,14.2563,346
274,664.08,44.5983,14.2428,348
275,658.872,44.4862,14.2007,347
276,654.185,44.353,14.1826,347
277,660.767,44.2551,14.1649,345
278,663.99,44.1902,14.1555,345
279,663.291,44.102,14.1581,343
280,658.162,43.9625,14.1443,341
281,656.246,43.8245,14.1153,341
282,653.621,43.6583,14.1038,339
283,653.059,43.5307,14.0689,341
284,667.853,43.5315,14.0175,342
285,662.268,43.4935,13.9954,342
286,647.341,43.3686,13.9602,343
